Date,SPY,EUR/USD,BTC,GLD,ETH
2017-11-09,225.4959259033203,1.15968918800354,7143.580078125,122.12999725341795,320.8840026855469
2017-11-10,225.426025390625,1.164686679840088,6618.14013671875,121.12999725341795,299.25299072265625
2017-11-13,225.63563537597656,1.166112780570984,6559.490234375,121.30999755859376,316.71600341796875
2017-11-14,225.11163330078125,1.1664936542510986,6635.75,121.55999755859376,337.6310119628906
2017-11-15,223.98484802246097,1.1792869567871094,7315.5400390625,121.41000366210938,333.35699462890625
2017-11-17,225.2251739501953,1.177745342254639,7708.990234375,122.86000061035156,332.3940124511719
2017-11-20,225.60943603515625,1.1731857061386108,8200.6396484375,121.30999755859376,366.7300109863281
2017-11-21,227.0855712890625,1.174122333526611,8071.259765625,121.51000213623048,360.4010009765625
2017-11-22,226.8846435546875,1.173722743988037,8253.5498046875,122.62999725341795,380.6520080566406
2017-11-24,227.40870666503903,1.1853959560394287,8253.6904296875,122.31999969482422,474.9110107421875
2017-11-27,227.295166015625,1.1926485300064087,9818.349609375,122.83000183105467,480.3550109863281
2017-11-28,229.60101318359375,1.1904903650283811,10058.7998046875,122.80999755859376,472.9020080566406
2017-11-29,229.46131896972656,1.184805989265442,9888.6103515625,122.04000091552734,427.52301025390625
2017-11-30,231.47023010253903,1.18519926071167,10233.599609375,121.0999984741211,447.114013671875
2017-12-01,230.9898223876953,1.1898245811462402,10975.599609375,121.58999633789062,466.5400085449219
2017-12-04,230.7103576660156,1.1859863996505735,11657.2001953125,121.18000030517578,470.2040100097656
2017-12-05,229.8805999755859,1.1867746114730835,11916.7001953125,120.31999969482422,463.281005859375
2017-12-06,229.92417907714844,1.1832919120788574,14291.5,120.06999969482422,428.5880126953125
2017-12-07,230.64920043945312,1.1804285049438477,17899.69921875,118.48999786376952,434.4079895019531
2017-12-08,231.9069366455078,1.1772184371948242,16569.400390625,118.4800033569336,456.031005859375
2017-12-11,232.605712890625,1.176996827125549,16936.80078125,118.01000213623048,515.135986328125
2017-12-12,233.0161590576172,1.1777591705322266,17415.400390625,118.1500015258789,651.4310302734375
2017-12-13,232.9900665283203,1.1742602586746216,16408.19921875,119.16999816894533,702.7670288085938
2017-12-14,232.0379638671875,1.1835860013961792,16564.0,118.93000030517578,695.8159790039062
